tweet_id,retweet_count,reply_count,like_count,quote_count
1367127632920399874,51,26,443,12
1367123851545620488,20,14,192,7
1365674321012789257,48,74,352,10
1365674300615897094,41,9,305,4
1365674299860860934,70,71,726,16
1365311913605947397,17,8,208,3
1365311912616079360,31,6,293,3
1364953324731138048,33,75,280,6
1364949524758876172,39,18,307,12
1364949524482031616,51,15,439,10
1363137584893988865,69,46,546,13
1362775197741428742,52,88,618,14
1362416612150824962,49,100,498,18
1362412809225666567,44,22,517,7
1362050422077276163,78,71,736,31
1361325666461966342,19,7,168,4
1361325645582774273,339,120,2052,276
1360600870551961605,138,154,1506,130
1360238482451537925,17,4,252,1
1360238482233434115,37,2,353,11
1359876115540697089,19,2,174,3
1359876095793901573,44,43,436,15
1359876094497861639,42,6,361,7
1359513706355437573,109,128,1187,43
1358788953537728515,42,19,463,8
1358788937783926785,32,15,263,8
1358619216891555842,65,23,758,12
1358064155283099649,32,27,343,12
1358064155178196995,40,27,497,11
1358064155027247105,24,15,245,9
1357698923360645120,28,89,285,15
1357343188084617220,31,11,358,2
1357339381997006848,49,89,372,12
1357012146664730628,102,106,877,32
1355531220579397632,68,64,615,20
1355527440039346179,41,29,422,9
1355165054107267075,30,10,229,3
1354836655212027904,20,14,168,2
1354806451047305224,22,11,388,5
1354440277734420481,17,18,208,10
1353715501319520256,32,13,321,5
1352990726775336960,64,175,703,17
1352990725630271489,34,12,301,9
1352628340163805184,69,258,633,39
1352628339299786755,28,12,276,7
1352628337961803776,23,8,263,6
1352628335361347588,21,6,133,2
1350454010101325825,45,29,415,28
1350091622546079747,46,13,450,11
1349729233736589312,41,23,508,13
1347917295390228481,54,62,585,23
1347554907335888896,27,25,288,7
1347554907205890052,58,35,521,12
1347554907151339529,22,17,264,4
1346830152332959744,21,22,149,10
1346830131894116352,26,7,224,2
1346830131789254660,32,2,353,13
1344293417090744321,69,85,629,34
1344293416839081984,39,66,402,10
1344293416008634369,27,9,252,6
1344293415928946692,19,2,157,2
1344293414926483457,13,3,161,0
1342843865141825537,36,15,375,7
1342843865003421699,29,27,285,2
1342843864772710400,40,19,309,16
1342119090857660417,158,249,1481,132
1341394313390022660,43,37,528,11
1341031946839879684,22,5,203,1
1341031926413582338,32,49,380,9
1341031926027743232,21,4,194,2
1341031925335666688,20,7,203,7
1340703519507144705,12,18,139,2
1340307154545364998,47,14,367,9
1340307149772210176,72,155,836,34
1340307148996263938,23,19,276,6
1339948549954564098,30,28,353,17
1339582377316769792,29,14,222,3
1339582376855269383,39,50,388,10
1339582376578465792,17,9,201,5
1339582376553422848,28,26,263,15
1339223769760624642,50,70,564,27
1339219985592410112,19,4,251,3
1338857638633693187,25,16,294,10
1338857599698042881,43,30,458,17
1338857598200639496,11,4,144,0
1338189446374694912,19,9,141,2
1337770435484782592,50,135,746,49
1337411852981170180,20,22,446,36
1337408048055390209,24,50,263,12
1337408047061282824,17,1,223,6
1337408046730010625,21,6,276,5
1337045659703250953,31,11,292,8
1337045659451609098,19,7,233,4
1336761996730101760,340,5475,6016,1877
1336683270503886849,31,68,609,20
1336320888497729536,56,134,708,50
1335958516490756097,26,13,259,4
1335233720215871489,37,30,365,14
1334871352738783233,12,11,192,2
1334871331859542017,19,6,282,4
1334508944438554626,24,21,351,13
1333784171311984640,14,27,177,2
1333425568398925826,26,23,323,14
1333421781768687618,18,4,277,9
1333421781722554368,7,3,142,1
1333421780548120578,28,36,337,20
1333048071098413056,18,13,173,5
1332697004582072323,102,115,1073,56
1332433480534417409,19,39,184,3
1331609842025426945,21,16,251,6
1331609840947441664,24,8,244,4
1331609840813285385,83,46,519,23
1331247474095378434,90,139,741,80
1331247454147194883,20,6,273,3
1330953813470097411,68,67,697,31
1330885087211229185,82,141,973,44
1330586862004686850,21,14,189,5
